title,authors,
An Information-Theoretic Foundation for the Measurement of Discrimination Information,1,
Domain-Driven Data Mining: Challenges and Prospects,1,
An UpDown Directed Acyclic Graph Approach for Sequential Pattern Mining,1,
A Novel Combination of Answer Set Programming with Description Logics for the Semantic Web,1,
State of the Transactions Editorial,1,
Optimization of Linear Recursive Queries in {SQL},1,
Statistical Model Computation with UDFs,1,
Efficient Lazy Evaluation of Rule-Based Programs,1,
Aging Bloom Filter with Two Active Buffers for Dynamic Sets,1,
The Context and the SitBAC Models for Privacy Preservation{\textemdash}An Experimental Comparison of Model Comprehension and Synthesis,2,
Defeasible Contextual Reasoning with Arguments in Ambient Intelligence,2,
A Guide to the Basic Logic Dialect for Rule Interchange on the Web,2,
Continuous Subgraph Pattern Search over Certain and Uncertain Graph Streams,2,
Multiobjective Neural Network Ensembles Based on Regularized Negative Correlation Learning,2,
Histograms and Wavelets on Probabilistic Data,2,
{P2P} Reputation Management Using Distributed Identities and Decentralized Recommendation Chains,2,
Asking Generalized Queries to Domain Experts to Improve Learning,2,
A Game Theoretic Approach for Simultaneous Compaction and Equipartitioning of Spatial Data Sets,2,
Integrated Rule-Based Learning and Inference,2,
FiVaTech: Page-Level Web Data Extraction from Template Pages,2,
Performance Comparison of the R\({}^{\mbox{*}}\)-Tree and the Quadtree for kNN and Distance Join Queries,2,
A Binary String Approach for Updates in Dynamic Ordered {XML} Data,2,
Spectral Anonymization of Data,2,
Dynamic Dissimilarity Measure for Support-Based Clustering,2,
Deriving Concept-Based User Profiles from Search Engine Logs,2,
Iso-Map: Energy-Efficient Contour Mapping in Wireless Sensor Networks,2,
Deterministic Column-Based Matrix Decomposition,2,
{MILD:} Multiple-Instance Learning via Disambiguation,2,
Ranked Query Processing in Uncertain Databases,2,
Feature Selection Using f-Information Measures in Fuzzy Approximation Spaces,2,
Knowledge-Based Interactive Postmining of Association Rules Using Ontologies,2,
Structural and Role-Oriented Web Service Discovery with Taxonomies in {OWL-S},2,
Anonymous Query Processing in Road Networks,2,
d-Presence without Complete World Knowledge,2,
Bayesian Classifiers Programmed in {SQL},2,
A Survey on Transfer Learning,2,
The Tiled Bitmap Forensic Analysis Algorithm,2,
Personalizing Web Directories with the Aid of Web Usage Data,2,
Query Processing Using Distance Oracles for Spatial Networks,2,
Efficient Mining of Large Maximal Bicliques from 3D Symmetric Adjacency Matrix,2,
XCDSearch: An {XML} Context-Driven Search Engine,2,
A Deductive Spreadsheet System for End Users,2,
Combating the Small Sample Class Imbalance Problem Using Feature Selection,2,
Learning to Adapt Web Information Extraction Knowledge and Discovering New Attributes via a Bayesian Approach,2,
Constrained Dimensionality Reduction Using a Mixed-Norm Penalty Function with Neural Networks,2,
Hiding Sequential and Spatiotemporal Patterns,3,
Non-Negative Matrix Factorization for Semisupervised Heterogeneous Data Coclustering,3,
Efficient Algorithm for Localized Support Vector Machine,3,
A General Framework of Time-Variant Bandwidth Allocation in the Data Broadcasting Environment,3,
Energy- and Latency-Efficient Processing of Full-Text Searches on a Wireless Broadcast Stream,3,
Exploring Correlated Subspaces for Efficient Query Processing in Sparse Databases,3,
Filter-Based Data Partitioning for Training Multiple Classifier Systems,3,
Mining Predictive k-CNF Expressions,3,
Parallelizing Itinerary-Based {KNN} Query Processing in Wireless Sensor Networks,3,
Managing Multidimensional Historical Aggregate Data in Unstructured {P2P} Networks,3,
Coclustering Multiple Heterogeneous Domains: Linear Combinations and Agreements,3,
Using Proximity Search to Estimate Authority Flow,3,
{PAM:} An Efficient and Privacy-Aware Monitoring Framework for Continuously Moving Objects,3,
Guest Editor's Introduction to the Special Section on the {IEEE} International Conference on Data Engineering,3,
Unsupervised Semantic Similarity Computation between Terms Using Web Documents,3,
Uninterpreted Schema Matching with Embedded Value Mapping under Opaque Column Names and Data Values,3,
Dictionary-Based Compression for Long Time-Series Similarity,3,
A Nonsupervised Learning Framework of Human Behavior Patterns Based on Sequential Actions,3,
