title,authors,
Statistical topological data analysis using persistence landscapes,1,
Encog: library of interchangeable machine learning models for Java and C{\#},1,
Strong consistency of the prototype based clustering in probabilistic space,1,
Existence and uniqueness of proper scoring rules,1,
Local identification of overcomplete dictionaries,1,
The sample complexity of learning linear predictors with the squared loss,1,
A general framework for fast stagewise algorithms,1,
Concave penalized estimation of sparse Gaussian Bayesian networks,2,
A finite sample analysis of the Naive Bayes classifier,2,
Response-based approachability with applications to generalized no-regret problems,2,
From dependency to causality: a machine learning approach,2,
Linear dimensionality reduction: survey  insights  and generalizations,2,
Agnostic learning of disjunctions on symmetric distributions,2,
Bayesian nonparametric covariance regression,2,
On the asymptotic normality of an estimate of a regression functional,2,
Minimax analysis of active learning,2,
On the inductive bias of dropout,2,
Non-asymptotic analysis of a new bandit algorithm for semi-bounded rewards,2,
Learning the structure and parameters of large-population graphical games from behavioral data,2,
Comparing hard and overlapping clusterings,2,
Partykit: a modular toolkit for recursive partytioning in {R},2,
Semi-supervised interpolation in an anticausal learning scenario,2,
Discrete reproducing kernel Hilbert spaces: sampling and distribution of Dirac-masses,2,
Optimality of Poisson processes intensity learning with Gaussian processes,2,
Optimal estimation of low rank density matrices,2,
Joint estimation of multiple precision matrices with common structures,2,
Learning theory of randomized Kaczmarz algorithm,2,
Regularized M-estimators with nonconvexity: statistical and algorithmic theory for local optima,2,
The Libra toolkit for probabilistic models,2,
Complexity of equivalence and learning for multiplicity tree automata,2,
A view of margin losses as regularizers of probability estimates,2,
Discrete restricted Boltzmann machines,2,
{SAMOA:} scalable advanced massive online analysis,2,
Combined l1 and greedy l0 penalized least squares for linear model selection,2,
Flexible high-dimensional classification machines and their asymptotic properties,2,
Learning transformations for clustering and classification,2,
Perturbed message passing for constraint satisfaction problems,2,
On semi-supervised linear regression in covariate shift problems,2,
Agnostic insurability of model classes,2,
Rationality  optimism and guarantees in general reinforcement learning,2,
Batch learning from logged bandit feedback through counterfactual risk minimization,2,
Links between multiplicity automata  observable operator models and predictive state representations: a unified learning framework,2,
Constraint-based causal discovery from multiple interventions over overlapping variable sets,2,
V-matrix method of solving statistical inference problems,2,
Learning using privileged information: similarity control and knowledge transfer,2,
Derivative estimation based on difference sequence via locally weighted least squares regression,2,
Achievability of asymptotic minimax regret by horizon-dependent and horizon-independent strategies,2,
On linearly constrained minimum variance beamforming,2,
Iterative and active graph clustering using trace norm minimization without cluster size constraints,3,
Geometric intuition and algorithms for Ev-SVM,3,
Network granger causality with inherent grouping structure,3,
Sharp oracle bounds for monotone and convex regression through aggregation,3,
Statistical decision making for optimal budget allocation in crowd labeling,3,
Eigenwords: spectral word embeddings,3,
Preface to this special issue,3,
Alexey Chervonenkis's bibliography: introductory comments,3,
Alexey Chervonenkis's bibliography,3,
A comprehensive survey on safe reinforcement learning,3,
A direct estimation of high dimensional stationary vector autoregressions,3,
Counting and exploring sizes of Markov equivalence classes of directed acyclic graphs,3,
Predicting a switching sequence of graph labelings,3,
Generalized hierarchical kernel learning,3,
The algebraic combinatorial approach for low-rank matrix completion,3,
Fast cross-validation via sequential testing,3,
Calibrated multivariate regression with application to neural semantic basis discovery,3,
A statistical perspective on algorithmic leveraging,3,
Distributed matrix completion and robust factorization,3,
Global convergence of online limited memory {BFGS},3,
Geometry and expressive power of conditional restricted Boltzmann machines,3,
Second-order non-stationary online learning for regression,3,
Optimal Bayesian estimation in random covariate design with a rescaled Gaussian process prior,3,
Absent data generating classifier for imbalanced class sizes,3,
Towards an axiomatic approach to hierarchical clustering of measures,3,
Composite self-concordant minimization,3,
Lasso screening rules via dual polytope projection,3,
Introducing {CURRENNT:} the munich open-source {CUDA} recurrent neural network toolkit,3,
A compression technique for analyzing disagreement-based active learning,3,
Simultaneous pursuit of sparseness and rank structures for matrix decomposition,3,
Divide and conquer kernel ridge regression: a distributed algorithm with minimax optimal rates,3,
A classification module for genetic programming algorithms in {JCLEC},4,
Adaptive strategy for stratified Monte Carlo sampling,4,
Completing any low-rank matrix  provably,4,
Marginalizing stacked linear denoising autoencoders,4,
Plug-and-play dual-tree algorithm runtime analysis,4,
Multiclass learnability and the {ERM} principle,4,
Learning equilibria of games via payoff queries,4,
Matrix completion and low-rank {SVD} via fast alternating least squares,4,
The flare package for high dimensional linear regression and precision matrix estimation in {R},4,
The Randomized Causation Coefficient,4,
Condition for perfect dimensionality recovery by variational Bayesian {PCA},4,
pyGPs: a Python library for Gaussian process regression and classification,4,
Multimodal gesture recognition via multiple hypotheses rescoring,4,
SnFFT: a Julia toolkit for Fourier analysis of functions over permutations,4,
Online learning via sequential complexities,4,
Decision boundary for discrete Bayesian network classifiers,4,
{CEKA:} a tool for mining the wisdom of crowds,4,
An asynchronous parallel stochastic coordinate descent algorithm,5,
When are overcomplete topic models identifiable? uniqueness of tensor tucker decompositions with structured sparsity,5,
Convergence rates for persistence diagram estimation in topological data analysis,5,
Fast rates in statistical and online learning,5,
Learning with the maximum correntropy criterion induced losses for regression,5,
RLPy: a value-function-based reinforcement learning framework for education and research,5,
Photonic delay systems as machine learning implementations,5,
Online tensor methods for learning latent variable models,5,
Multi-layered gesture recognition with Kinect,5,
Supervised learning via Euler's Elastica models,5,
AD\({}^{\mbox{3}}\): alternating directions dual decomposition for {MAP} inference in graphical models,5,
Bayesian nonparametric crowdsourcing,5,
Learning to identify concise regular expressions that describe email campaigns,5,
Learning sparse low-threshold linear classifiers,5,
Approximate modified policy iteration and its application to the game of Tetris,5,
{PAC} optimal {MDP} planning with application to invasive species management,5,
Graphical models via univariate exponential family distributions,5,
Exceptional rotations of random graphs: a {VC} theory,6,
Evolving {GPU} machine code,6,
Risk bounds for the majority vote: from a PAC-Bayesian analysis to a learning algorithm,7,
Ultra-scalable and efficient methods for hybrid observational and experimental local causal pathway discovery,8,
Combination of feature engineering and ranking models for paper-author identification in {KDD} cup 2013,24,
118,386,3.271186441
