title,authors,
Towards Sharp Inapproximability for Any 2-CSP,1,
More Algorithms for All-Pairs Shortest Paths in Weighted Graphs,1,
A Better Algorithm for Random k-SAT,1,
Randomized Self-Assembly for Exact Shapes,1,
Extension Preservation Theorems on Classes of Acyclic Finite Structures,1,
Reaching and Distinguishing States of Distributed Systems,1,
Distributed Broadcast in Unknown Radio Networks,1,
Adaptive Local Ratio,1,
Approximating Steiner Networks with Node-Weights,1,
On the k Shortest Simple Paths Problem in Weighted Directed Graphs,1,
On Coresets for k-Median and k-Means Clustering in Metric and Euclidean Spaces and Their Applications,1,
On Maximizing Welfare When Utility Functions Are Subadditive,1,
Faster Integer Multiplication,1,
Algebraic Algorithms for Matching and Matroid Problems,1,
Parameterized Approximation Scheme for the Multiple Knapsack Problem,1,
Combinatorial Construction of Locally Testable Codes,1,
Narrow Proofs May Be Spacious: Separating Space and Width in Resolution,1,
Extractors for a Constant Number of Polynomially Small Min-Entropy Independent Sources,1,
Circuit Lower Bounds for Merlin--Arthur Classes,1,
Sparse Algebraic Equations over Finite Fields,1,
Beyond Hirsch Conjecture: Walks on Random Polytopes and Smoothed Complexity of the Simplex Method,1,
Zero-Knowledge against Quantum Attacks,1,
Tight Bounds for Randomized and Quantum Local Search,1,
Approximate Halfspace Range Counting,2,
An Approximation Algorithm for Max-Min Fair Allocation of Indivisible Goods,2,
Lower Bounds for Randomized Consensus under a Weak Adversary,2,
Server Scheduling to Balance Priorities  Fairness  and Average Quality of Service,2,
Faster Algorithms for All-pairs Approximate Shortest Paths in Undirected Graphs,2,
Quantified Equality Constraints,2,
Pseudorandom Bits for Polynomials,2,
Effective Computations on Sliding Windows,2,
An Optimal Bifactor Approximation Algorithm for the Metric Uncapacitated Facility Location Problem,2,
An Optimal Randomized Cell Probe Lower Bound for Approximate Nearest Neighbor Searching,2,
On the Approximability of Budgeted Allocations and Improved Lower Bounds for Submodular Welfare Maximization and {GAP},2,
The Local Nature of List Colorings for Graphs of High Girth,2,
On the Complexity of Nash Equilibria and Other Fixed Points,2,
Lower Bounds on Streaming Algorithms for Approximating the Length of the Longest Increasing Subsequence,2,
Correctness of Gossip-Based Membership under Message Loss,2,
On the Compressibility of \emph{NP} Instances and Cryptographic Applications,2,
The PSPACE-Completeness of Black-White Pebbling,2,
Approximation Algorithms for Scheduling Parallel Jobs,2,
Quantum Hardcore Functions by Complexity-Theoretical Quantum List Decoding,2,
Algorithmic Enumeration of Ideal Classes for Quaternion Orders,2,
Special Section On Foundations of Computer Science,2,
Analysis of Delays Caused by Local Synchronization,2,
Submodularity of Influence in Social Networks: From Local to Global,2,
Explicit Construction of a Small Epsilon-Net for Linear Threshold Functions,2,
Edge Disjoint Paths in Moderately Connected Graphs,2,
Chosen-Ciphertext Security via Correlated Products,2,
Local Monotonicity Reconstruction,2,
Hardness Amplification Proofs Require Majority,2,
Tightening Nonsimple Paths and Cycles on Surfaces,2,
Random Formulas Have Frozen Variables,2,
The Fast Johnson--Lindenstrauss Transform and Approximate Nearest Neighbors,2,
Worst-Case and Smoothed Analysis of the {ICP} Algorithm  with an Application to the k-Means Method,2,
Congruence Distributivity Implies Bounded Width,2,
On the Computational Power of Demand Queries,2,
Complexity of Stoquastic Frustration-Free Hamiltonians,2,
Transdichotomous Results in Computational Geometry  {I:} Point Location in Sublogarithmic Time,2,
Pass-Efficient Algorithms for Learning Mixtures of Uniform Distributions,2,
Finding a Heaviest Vertex-Weighted Triangle Is not Harder than Matrix Multiplication,2,
Estimating the Weight of Metric Minimum Spanning Trees in Sublinear Time,2,
Small Approximate Pareto Sets for Biobjective Shortest Paths and Other Problems,2,
Hardness of Learning Halfspaces with Noise,2,
More Efficient Algorithms for Closest String and Substring Problems,2,
An {LLL} Algorithm with Quadratic Complexity,2,
Higher Lower Bounds for Near-Neighbor and Further Rich Problems,2,
Simulating Quantum Correlations with Finite Communication,2,
Gowers Uniformity  Influence of Variables  and PCPs,2,
Programmable Control of Nucleation for Algorithmic Self-Assembly,2,
Low-End Uniform Hardness versus Randomness Tradeoffs for {AM},2,
The Computational Hardness of Estimating Edit Distance,3,
Quantum Computation and the Evaluation of Tensor Networks,3,
Small-Size {\textdollar}{\textbackslash}eps{\textdollar}-Nets for Axis-Parallel Rectangles and Boxes,3,
O(sqrt(log(n)) Approximation to {SPARSEST} {CUT} in {\~{O}}(n\({}^{\mbox{2}}\)) Time,3,
Left-to-Right Multiplication for Monotone Boolean Dualization,3,
Local Global Tradeoffs in Metric Embeddings,3,
Designing Network Protocols for Good Equilibria,3,
Labeling Dynamic {XML} Trees,3,
Selfish Traffic Allocation for Server Farms,3,
Linear-Time Algorithms for Geometric Graphs with Sublinearly Many Edge Crossings,3,
Computing the Least Fixed Point of Positive Polynomial Systems,3,
Approximate Satisfiability and Equivalence,3,
Approximate Hypergraph Partitioning and Applications,3,
Fast Convergence to Wardrop Equilibria by Adaptive Sampling Methods,3,
An {O(1)} RMRs Leader Election Algorithm,3,
On the Implementation of Huge Random Objects,3,
Hardness of Reconstructing Multivariate Polynomials over Finite Fields,3,
Deterministic Polynomial Time Algorithms for Matrix Completion Problems,3,
On Spanners and Lightweight Spanners of Geometric Graphs,3,
Line Transversals of Convex Polyhedra in R\({}^{\mbox{3}}\),3,
Breaking the Epsilon-Soundness Bound of the Linearity Test over {GF(2)},3,
Unique Games with Entangled Provers Are Easy,3,
Preprocessing Imprecise Points and Splitting Triangulations,3,
Information-Theoretically Secure Protocols and Security under Composition,3,
Extensional Uniformity for Boolean Circuits,3,
Kinetic kd-Trees and Longest-Side kd-Trees,3,
Special Section On The Thirty-Ninth Annual {ACM} Symposium On Theory Of Computing {(STOC} 2007),3,
Special Section on Foundations of Computer Science,3,
A New Approximation Method for Set Covering Problems  with Applications to Multidimensional Bin Packing,3,
Speed Scaling for Weighted Flow Time,3,
Set Partitioning via Inclusion-Exclusion,3,
Time-decaying Sketches for Robust Aggregation of Sensor Data,3,
The Complexity of Computing a Nash Equilibrium,3,
Conditional Hardness for Approximate Coloring,3,
Hardness-Randomness Tradeoffs for Bounded Depth Arithmetic Circuits,3,
Approximate List-Decoding of Direct Product Codes and Uniform Hardness Amplification,3,
Playing Games with Approximation Algorithms,3,
