title,authors,
Combining Centralised and Distributed Testing,1,
Introduction to the Special Issue on {ISSTA} 2013,2,
Platys: An Active Learning Framework for Place-Aware Application Development and Its Evaluation,2,
Effective Techniques for Static Race Detection in Java Parallel Loops,2,
A Large-Scale Evaluation of Automated Unit Test Generation Using EvoSuite,2,
Automated Support for Reproducing and Debugging Field Failures,3,
Data Model Property Inference  Verification  and Repair for Web Applications,3,
Deciding Type-Based Partial-Order Constraints for Path-Sensitive Analysis,3,
A Baseline Model for Software Effort Estimation,3,
Formal Verification of Software Countermeasures against Side-Channel Attacks,3,
When and How to Use Multilevel Modelling,3,
Software Change Contracts,4,
aToucan: An Automated Framework to Derive {UML} Analysis Models from Use Case Models,4,
A Continuous {ASM} Modelling Approach to Pacemaker Sensing,4,
Residual Investigation: Predictive and Precise Bug Detection,4,
Code-Smell Detection as a Bilevel Problem,4,
Mining Unit Tests for Discovery and Migration of Math APIs,4,
Directed Incremental Symbolic Execution,4,
Automatic Workarounds: Exploiting the Intrinsic Redundancy of Web Applications,5,
Does Automated Unit Test Generation Really Help Software Testers? {A} Controlled Empirical Study,5,
Documenting Design-Pattern Instances: {A} Family of Experiments on Source-Code Comprehensibility,5,
A Unified Test Case Prioritization Approach,5,
Conditional Commitments: Reasoning and Model Checking,5,
Assessing the Effect of Screen Mockups on the Comprehension of Functional Requirements,5,
Guidelines for Coverage-Based Comparisons of Non-Adequate Test Suites,6,
Many-Objective Software Remodularization Using {NSGA-III},7,
26,98,3.769230769
