title,authors,
Pseudo-Line Arrangements: Duality  Algorithms  and Applications,2,
Complexities for Generalized Models of Self-Assembly,6,
Load Balancing in Arbitrary Network Topologies with Stochastic Adversarial Input,3,
Separating the Power of Monotone Span Programs over Different Fields,2,
Decidable and Undecidable Problems about Quantum Automata,5,
Optimal Two-Stage Algorithms for Group Testing Problems,3,
Quantum Algorithms for Element Distinctness,7,
Classifying the Complexity of Constraints Using Finite Algebras,3,
A Second-Order Perceptron Algorithm,3,
Low-Dimensional Linear Programming with Violations,1,
Nonmigratory Online Deadline Scheduling on Multiprocessors,3,
Improved Combinatorial Algorithms for Facility Location Problems,2,
Approximating the Minimum Spanning Tree Weight in Sublinear Time,3,
On the Bounded Sum-of-Digits Discrete Logarithm Problem in Finite Fields,1,
Orderly Spanning Trees with Applications,3,
Convergence Properties of the Gravitational Algorithm in Asynchronous Robot Systems,2,
Dynamic {LCA} Queries on Trees,2,
On the Relationship Between Clique-Width and Treewidth,2,
Abstract Combinatorial Programs and Efficient Property Testers,2,
A New Multilayered {PCP} and the Hardness of Hypergraph Vertex Cover,4,
Layout of Graphs with Bounded Tree-Width,3,
The Complexity of the Union of (alpha  beta)-Covered Objects,1,
Polynomial-Time Approximation Schemes for Geometric Intersection Graphs,3,
"Fair Simulation Relations  Parity Games  and State Space Reduction for Bu""chi Automata",3,
Output-Sensitive Construction of the Union of Triangles,2,
Efficiency of Oblivious versus Nonoblivious Schedulers for Optimistic  Rate-based Flow Control,3,
The Difficulty of Testing for Isomorphism against a Graph That Is Given in Advance,1,
Omega(log n) Lower Bounds on the Amount of Randomness in 2-Private Computation,2,
Work-Competitive Scheduling for Cooperative Computing with Dynamic Groups,5,
Extending Downward Collapse from 1-versus-2 Queries to m-versus-m + 1 Queries,5,
Binary Space Partitions of Orthogonal Subdivisions,3,
Online Scheduling of Precedence Constrained Tasks,2,
Duality Between Prefetching and Queued Writing with Parallel Disks,4,
Strictly Nonblocking Multirate log\({}_{\mbox{d}}\)(\emph{N  m  p}) Networks,3,
Learning Random Log-Depth Decision Trees under Uniform Distribution,2,
Fault-Tolerant Scheduling,2,
A Lower Bound on the Complexity of Polynomial Multiplication over Finite Fields,1,
Curve-Sensitive Cuttings,2,
Primal-Dual Meets Local Search: Approximating MSTs With Nonuniform Degree Bounds,2,
A Work-Optimal Deterministic Algorithm for the Certified Write-All Problem with a Nontrivial Number of Asynchronous Processors,1,
{SRT} Division Algorithms as Dynamical Systems,2,
The Complexity of Finding Paths in Graphs with Bounded Independence Number,2,
A Shortest Path Algorithm for Real-Weighted Undirected Graphs,3,
Top-Down Analysis of Path Compression,2,
The Bisimulation Problem for Equational Graphs of Finite Out-Degree,1,
Novel Transformation Techniques Using Q-Heaps with Applications to Computational Geometry,2,
Stochastic Machine Scheduling with Precedence Constraints,2,
On Even Triangulations of 2-Connected Embedded Graphs,2,
Fast Universalization of Investment Strategies,3,
Pseudorandom Generators in Propositional Proof Complexity,5,
A Characterization of Universal Stability in the Adversarial Queuing Model,3,
Multiembedding of Metric Spaces,2,
Instability of {FIFO} at Arbitrarily Low Rates in the Adversarial Queueing Model,3,
A Complete Characterization of the Algebras of Minimal Bilinear Complexity,1,
Bounded-Depth Frege Lower Bounds for Weaker Pigeonhole Principles,5,
Approximation Algorithms for the 0-Extension Problem,3,
Generalized Irreducibility of Consensus and the Equivalence of t-Resilient and Wait-Free Implementations of Consensus,5,
An Optimal Algorithm for the Maximum-Density Segment Problem,2,
Balanced-Replication Algorithms for Distribution Trees,2,
Nonindependent Randomized Rounding and an Application to Digital Halftoning,1,
Traveling with a Pez Dispenser (or  Routing Issues in {MPLS)},3,
Small Spans in Scaled Dimension,1,
Perfectness is an Elusive Graph Property,2,
Temporal Reasoning about Two Concurrent Sequences of Events,4,
Algorithms for {RH} Mapping: New Ideas and Improved Analysis,2,
The Simplex Algorithm in Dimension Three,4,
Labeling Schemes for Flow and Connectivity,4,
Almost Perfect Lattices  the Covering Radius Problem  and Applications to Ajtai's Connection Factor,1,
Random Walks on Truncated Cubes and Sampling 0-1 Knapsack Solutions,2,
Online Scheduling to Minimize Average Stretch,4,
New Approximation Techniques for Some Linear Ordering Problems,2,
Quick k-Median  k-Center  and Facility Location for Sparse Graphs,1,
72,190,2.638888889
