title,authors,
Toward the Next Generation of Recommender Systems: {A} Survey of the State-of-the-Art and Possible Extensions,3,
On Change Diagnosis in Evolving Data Streams,1,
Outlier Mining in Large High-Dimensional Data Sets,2,
Data Mining for Case-Based Reasoning in High-Dimensional Biological Domains,2,
SynchRuler: {A} Rule-Based Flexible Synchronization Model with Model Checking,2,
Simulated Annealing Using a Reversible Jump Markov Chain Monte Carlo Algorithm for Fuzzy Clustering,2,
Hierarchical Decision Tree Induction in Distributed Genomic Databases,4,
Interpretable Hierarchical Clustering by Constructing an Unsupervised Decision Tree,2,
On Combining Classifier Mass Functions for Text Categorization,3,
Toward Intelligent Assistance for a Data Mining Process: An Ontology-Based Approach for Cost-Sensitive Classification,3,
Analysis of Data Structures for Admission Control of Advance Reservation Requests,1,
{MAFIA:} {A} Maximal Frequent Itemset Algorithm,5,
Document Clustering Using Locality Preserving Indexing,3,
Antipole Tree Indexing to Support Range Search and K-Nearest Neighbor Search in Metric Spaces,5,
QA-Pagelet: Data Preparation Techniques for Large-Scale Data Analysis of the Deep Web,2,
Storing {XML} (with {XSD)} in {SQL} Databases: Interplay of Logical and Physical Designs,4,
Maximum Weighted Likelihood via Rival Penalized {EM} for Density Mixture Clustering with Automatic Model Selection,1,
On Rival Penalization Controlled Competitive Learning for Clustering with Automatic Cluster Number Selection,1,
Constructing Suffix Tree for Gigabyte Sequences with Megabyte Memory,3,
Mining Closed and Maximal Frequent Subtrees from Databases of Labeled Rooted Trees,4,
"Correction to ""Mining Closed and Maximal Frequent Subtrees from Databases of Labeled Rooted Trees""",4,
Literature Extraction of Protein Functions Using Sentence Pattern Mining,2,
Genetic Evolution Processing of Data Structures for Image Classification,2,
Techniques for Efficient Road-Network-Based Tracking of Moving Objects,3,
Introducing a Family of Linear Measures for Feature Selection in Text Categorization,5,
Indexing High-Dimensional Data for Efficient In-Memory Similarity Search,4,
Semantic Approximation of Data Stream Joins,4,
Knowledge Accumulation and Resolution of Data Inconsistencies during the Integration of Microbial Information Sources,4,
Automatic Identification of Informative Sections of Web Pages,5,
Frequent Substructure-Based Approaches for Classifying Chemical Compounds,5,
Periodicity Detection in Time Series Databases,3,
Evaluation and Design of Online Cooperative Feedback Mechanisms for Reputation Management,3,
A Fuzzy-Set-Based Reconstructed Phase Space Method for Idenitification of Temporal Patterns in Complex Time Series,2,
Fast Detection of {XML} Structural Similarity,5,
Improving Availability and Performance with Application-Specific Data Replication,6,
Hierarchical Taxonomy Preparation for Text Categorization Using Consistent Bipartite Spectral Graph Copartitioning,6,
Continuous Similarity-Based Queries on Streaming Time Series,2,
Domain-Driven Data Synopses for Dynamic Quantiles,4,
Using One-Class and Two-Class SVMs for Multiclass Image Annotation,3,
Using Evolutionary Algorithms for Defining the Sampling Policy of Complex N-Partite Networks,2,
Fast Algorithms for Frequent Itemset Mining Using FP-Trees,2,
Mining and Reasoning on Workflows,4,
Ontological Evaluation of Enterprise Systems Interoperability Using ebXML,3,
Selection of Views to Materialize in a Data Warehouse,2,
A Tree-Based Forward Digest Protocol to Verify Data Integrity in Distributed Media Streaming,5,
A Formal Framework for Prefetching Based on the Type-Level Access Pattern in Object-Relational DBMSs,3,
Linear-Time Wrappers to Identify Atypical Points: Two Subset Generation Methods,1,
{SMCA:} {A} General Model for Mining Asynchronous Periodic Patterns in Temporal Databases,2,
Using {AUC} and Accuracy in Evaluating Learning Algorithms,2,
Integration and Efficient Lookup of Compressed {XML} Accessibility Maps,2,
An Interactive Approach to Mining Gene Expression Data,3,
ADMiRe: An Algebraic Data Mining Approach to System Performance Analysis,5,
Shared Memory Parallelization of Data Mining Algorithms: Techniques  Programming Interface  and Performance,3,
A Generalized Temporal Role-Based Access Control Model,4,
A Statistical Model for User Preference,3,
A Tree-Structured Index Allocation Method with Replication over Multiple Broadcast Channels in Wireless Environments,3,
{WISDOM:} Web Intrapage Informative Structure Mining Based on Document Object Model,3,
Compression  Clustering  and Pattern Discovery in Very High-Dimensional Discrete-Attribute Data Sets,3,
Minimum Spanning Tree Partitioning Algorithm for Microaggregation,2,
Discovering Frequent Episodes and Learning Hidden Markov Models: {A} Formal Connection,3,
epsilon-SSVR: {A} Smooth Support Vector Machine for epsilon-Insensitive Regression,3,
Using Fixed Point Theorems to Model the Binding in Protein-Protein Interactions,2,
Translation Initiation Sites Prediction with Mixture Gaussian Models in Human cDNA Sequences,3,
Indexing Useful Structural Patterns for {XML} Query Processing,4,
